企业名称,线索id,线索标题,线索链接,作品ID,作品名,维权状态,掌柜名,店铺名,店铺链接,线索入库时间,店铺状态,开店时间,店铺类型
山下有松（北京）文化传播有限公司,32559753,Songmont山下有松真皮女包2024新款百搭妈妈包琳迪包斜挎医生包单,https://item.taobao.com/item.htm?id=800184442979,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559814,Songmont山下有松小众设计包包女2024新款春夏单肩斜挎手提包高级,https://item.taobao.com/item.htm?id=800184642907,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559680,Songmont山下有松真皮腋下包女夏斜挎小众设计法棍包包2022新款月,https://item.taobao.com/item.htm?id=800185742776,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559713,Songmont山下有松链条肩带牛仔布包托特包韩国大容量包包女2024新,https://item.taobao.com/item.htm?id=800189286806,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559733,Songmont山下有松ins小众设计软皮手提包小托特包女秋冬新款菜篮,https://item.taobao.com/item.htm?id=800192010181,199423,Songmont,未维权,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559764,Songmont山下有松超大容量软皮单肩包包女小众设计慵懒风托特包今,https://item.taobao.com/item.htm?id=800197034618,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559744,Songmont山下有松韩系高级感保龄球小方包单肩斜挎手机包ins超火,https://item.taobao.com/item.htm?id=800198950108,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559698,Songmont山下有松饺子包日韩小众褶皱尼龙帆布包男女胸包大容量轻,https://item.taobao.com/item.htm?id=800204306004,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559809,Songmont山下有松大容量包包女斜挎包2022新款女包高级质感今年流,https://item.taobao.com/item.htm?id=800207826339,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559805,Songmont山下有松2024新款早春百搭高级感真皮凯莉包二代mini休闲,https://item.taobao.com/item.htm?id=800314657206,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559703,Songmont山下有松韩系小众质感单肩水桶包女小个子大容量通勤手提,https://item.taobao.com/item.htm?id=800323613602,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
